Continent;Country (en);City (en);Latitude;Longitude
Asia;Afghanistan;Kabul;3.452.813;6.917.233
Europe;Albania;Tirana;413.275;1.981.889
Africa;Algeria;Algiers;367.525;304.197
Oceania;American Samoa;Pago Pago;-1.427.806;-1.707.025
Europe;Andorra;Andorra la Vella;4.250.779;152.109
Africa;Angola;Luanda;-883.682;1.323.432
North America;Anguilla;The Valley;1.821.704;-6.305.783
North America;Antigua and Barbuda;Saint John’s;1.711.717;-6.184.573
South America;Argentina;Buenos Aires;-3.461.315;-5.837.723
Asia;Armenia;Yerevan;4.018.111;4.451.361
North America;Aruba;Oranjestad;1.252.398;-7.002.703
Oceania;Australia;Canberra;-3.528.346;14.912.807
Europe;Austria;Vienna;4.820.849;1.637.208
Asia;Azerbaijan;Baku;4.037.767;4.989.201
North America;Bahamas;Nassau;2.505.823;-7.734.306
Asia;Bahrain;Manama;2.621.536;505.832
Asia;Bangladesh;Dhaka;237.104;9.040.744
North America;Barbados;Bridgetown;13.1;-5.961.667
Europe;Belarus;Minsk;53.9;2.756.667
Europe;Belgium;Brussels;5.085.045;434.878
Central America;Belize;Belmopan;17.25;-8.876.667
Africa;Benin;Porto-Novo;649.646;260.359
North America;Bermuda;Hamilton;322.949;-6.478.303
Asia;Bhutan;Thimphu;2.746.609;8.964.191
South America;Bolivia;Sucre;-1.903.332;-6.526.274
Europe;Bosnia and Herzegovina;Sarajevo;4.384.864;1.835.644
Africa;Botswana;Gaborone;-2.465.451;2.590.859
South America;Brazil;Brasília;-1.577.972;-4.792.972
North America;British Virgin Islands;Road Town;1.842.693;-6.462.079
Asia;Brunei;Bandar Seri Begawan;494.029;11.494.806
Europe;Bulgaria;Sofia;4.269.751;2.332.415
Africa;Burkina Faso;Ouagadougou;1.236.566;-153.388
Asia;Burma;Nay Pyi Taw;19.745;9.612.972
Africa;Burundi;Bujumbura;-33.822;293.644
Asia;Cambodia;Phnom Penh;1.156.245;10.491.601
Africa;Cameroon;Yaoundé;386.667;1.151.667
North America;Canada;Ottawa;4.541.117;-7.569.812
Africa;Cape Verde;Praia;1.493.152;-2.351.254
North America;Cayman Islands;George Town;192.866;-8.137.436
Africa;Central African Republic;Bangui;436.122;1.855.496
Africa;Chad;N'Djamena;1.210.672;150.444
South America;Chile;Santiago;-3.345.694;-7.064.827
Asia;China;Beijing;399.075;11.639.723
Oceania;Christmas Island;Flying Fish Cove;-1.042.172;10.567.912
Oceania;Cocos Islands;West Island;-1.214.603;96.822.424
South America;Colombia;Bogotá;460.971;-7.408.175
Africa;Comoros;Moroni;-1.170.216;4.325.506
Oceania;Cook Islands;Avarua;-2.120.778;-159.775
Central America;Costa Rica;San José;993.333;-8.408.333
Europe;Croatia;Zagreb;4.581.444;1.597.798
North America;Cuba;Havana;2.313.302;-8.238.304
Asia;Cyprus;Nicosia;3.517.531;333.642
Europe;Czech Republic;Prague;5.008.804;1.442.076
Africa;Democratic Republic of the Congo;Kinshasa;-432.758;1.531.357
Europe;Denmark;Copenhagen;5.567.594;1.256.553
Africa;Djibouti;Djibouti;1.158.901;4.314.503
North America;Dominica;Roseau;1.530.174;-6.138.808
North America;Dominican Republic;Santo Domingo;1.850.012;-6.998.857
South America;Ecuador;Quito;-0.22985;-7.852.495
Africa;Egypt;Cairo;3.006.263;3.124.967
Central America;El Salvador;San Salvador;1.368.935;-8.918.718
Africa;Equatorial Guinea;Malabo;3.75;878.333
Africa;Eritrea;Asmara;1.533.805;3.893.184
Europe;Estonia;Tallinn;5.943.696;2.475.353
Africa;Ethiopia;Addis Ababa;902.497;3.874.689
South America;Falkland Islands;Stanley;-51.7;-57.85
Europe;Faroe Islands;Tórshavn;6.200.973;-677.164
Oceania;Fiji;Suva;-1.814.161;17.844.149
Europe;Finland;Helsinki;6.016.952;2.493.545
Europe;France;Paris;4.885.341;23.488
South America;French Guiana;Cayenne;493.333;-5.233.333
Oceania;French Polynesia;Papeete;-1.753.733;-1.495.665
Africa;Gabon;Libreville;0.39241;945.356
Africa;Gambia;Banjul;1.345.274;-1.657.803
